r_init,z_init,q_max
-0.00595122022684185,0.004242284531290912,0.45
0.0026757633658446283,0.005896161520367617,0.16
-0.006639708564034908,-0.006426120329400277,0.08
0.0054136208146472325,0.00457428509422795,0.39
-2.846141520108751e-05,0.004705403414333758,0.37
-0.0007402526749483787,-0.005172827680041473,0.29
-0.0052356638510774435,0.0014364812562838959,0.84
0.007156476255205942,-0.0031652246694782653,0.64
-0.006403802126731015,0.0045347607711455065,0.4
0.0011558458088475228,0.00030683451351166957,0.9
-0.006882512627071396,0.00641403725615101,0.08
-0.001424065172248615,0.001363595631397191,0.85
0.009131492191475687,-0.0030694495475997946,0.64
-0.00016384228855479029,0.0064938482790106245,0.07
-0.007716368674093939,-0.0030660192628974587,0.64
-0.0009316192557777773,-0.00033979536898969074,0.9
0.0056020632299348515,0.002003872128255633,0.79
0.006730419868797896,-0.005165461309490125,0.29
-0.00828038622984758,-0.0003434327296563946,0.9
0.005304613573509852,0.0015646590696983187,0.8300000000000001
0.004869088690153352,0.006041391429022088,0.14
-0.009262785418073939,0.0012947280397892997,0.85
0.009858491064734333,-0.0016954873391400484,0.8200000000000001
-0.007246793590125931,-0.00025246314012049905,0.9
-0.0039007704619536832,-0.005871929115484094,0.17
0.00024184274950475246,-0.0017389238054338566,0.81
-0.0062611300163540225,0.004303749910223882,0.44
0.005636395727299114,0.004812657691365727,0.35000000000000003
0.00945427567333599,0.0016834979958196055,0.8200000000000001
0.0015092221808737094,0.002594103293015247,0.71
0.0018823422510032394,6.695572544496327e-06,0.9
-0.008705049830903817,0.001422391994983968,0.84
0.008509324187422788,0.003354079007412876,0.6
0.0063204511050346385,0.003415821996451564,0.59
0.00370959195954813,0.00019781529911770245,0.9
0.0008411164002228577,0.00041404901092091054,0.9
0.00714386886827428,0.0040622065948765955,0.48
-0.006680265449682894,-0.0030639571883525046,0.64
-0.004403334629027322,-0.0058794842262130395,0.17
-0.007010664865258991,-0.0011490914672177745,0.86
-0.003739102230327752,-0.005874419894172887,0.17
0.0019976586734382178,0.005913543773067821,0.16
0.008358490999201034,0.0021173246396131587,0.77
-0.007764599083122142,0.004355335328185471,0.43
-0.0017418180012310387,0.006538799814756577,0.06
0.004984329041405099,-0.006325968467734003,0.1
-0.009171430427728633,0.0035597011640408982,0.56
0.0017218801948189772,0.005051741926973886,0.31
-0.0009698569268138408,-0.0002922944956561006,0.9
-0.009340173420412573,0.0031107698642344637,0.64
0.004350159899310247,0.0019494584975136382,0.79
-0.00643672850701632,-0.006581837743201688,0.06
0.0030507370107094502,-0.004995415086755074,0.32
-0.00455798897596007,0.005238330768602579,0.28
0.0019848710975536327,-0.0006165353849232847,0.89
0.0009424971542861555,0.006409351292304304,0.08
-0.009819909911761413,0.004809600175699724,0.35000000000000003
-0.007787144787906463,0.005385960749793352,0.25
0.0013399031900707646,-0.0012477791647700692,0.86
-0.0044389041843862715,0.001553608458090625,0.8300000000000001
0.007956796696793715,-0.0021718203647608843,0.77
-0.008418288734963227,-0.006447959376306161,0.08
0.006234057444283687,0.005396417134351979,0.25
0.006687812359095425,0.0011028904224130416,0.87
0.007363214399332574,-4.982852346731466e-05,0.9
-0.001061682634229932,0.0007961646129355741,0.88
0.00211762623174952,-0.0001320600393769477,0.9
-0.009254314079142968,0.002769527561366998,0.6900000000000001
-0.004850958027711772,-0.00017840983382524846,0.9
-0.00865896755937026,-0.0016105334225694967,0.8300000000000001
0.0033156713871780284,0.004089640337440802,0.47000000000000003
0.00735936010395646,-0.005122845501612713,0.29
-0.004952751430845431,0.004963472715839328,0.32
-0.007521753755986805,0.004131508230989137,0.47000000000000003
0.0020861214798129427,0.0009786514862892585,0.87
0.0082494748997229,0.0042981330344121155,0.44
-0.007441158547895631,-0.00395245177805608,0.5
-0.00498415876811056,-0.005355103605758011,0.25
-0.008971836343066418,0.0008260065700066302,0.88
-0.0022137379459460675,-0.003627962037855212,0.55
-0.00475225668063432,0.0069089499747790545,0.01
0.0021668696960841175,0.004838772872431943,0.34
-0.0015450918543096163,0.006812493976226952,0.02
-0.008889199676454898,0.0021515498840959093,0.77
-0.00017279711689771084,-0.001475184198749346,0.84
-0.008751951573006154,0.0018920056760530534,0.8
0.0017581727088988239,0.005919808760194462,0.16
0.0016739809403502233,-0.0009328531994183958,0.88
0.00044900753937179676,0.004744226207903788,0.36
0.007167220192347588,-0.004252006946171817,0.45
0.004581823381183998,0.0012085002176756504,0.86
-0.008357144896136388,-0.0038305046808673592,0.52
0.005162573967700082,-0.006709235829308485,0.04
-0.0060309544550203355,-0.0005863244411188542,0.89
-0.0028516775496627072,-0.004631316359549567,0.38
0.006901297965014399,0.005996557886836299,0.15
-0.0073555589227377975,-0.0026774252215251036,0.7000000000000001
-0.00521490312110473,0.0031093189849183524,0.64
-0.0003013582413795325,-0.005627690981319457,0.21
0.0008200614318301432,-0.006327270363617509,0.1
-0.008700284342062988,0.0028886163322833875,0.67
0.007517584587513417,-0.005952441486780744,0.16
-0.0009472873068709659,0.004236864210259283,0.45
-0.00022770963173314625,0.004753570719004165,0.36
0.0005024661175400281,-0.001615939215670689,0.8200000000000001
-0.008498870737898371,0.004245399701643208,0.45
0.007041481421997738,0.003967254720484629,0.5
0.003815765224847594,0.003149395567718983,0.64
0.009814102661033147,-0.004148987538390785,0.46
-0.0024212459181010716,0.003298963040097685,0.61
0.008551870839877605,-0.0031984995666099595,0.64
-0.006739393491704024,-0.004389788642034138,0.42
-0.008884884859886075,-0.0055905659162870346,0.22
-0.009665022147678696,0.00017380689090728575,0.9
-0.005968940265372177,0.0056452079292324845,0.21
0.004145104485373792,0.004174997131527172,0.46
-0.004696038207910229,-0.000551451336433066,0.89
0.0020296073715304324,-0.004868337333760797,0.34
-0.003089857616996796,-0.00385025410825772,0.51
-0.003667368473983825,-0.002440289183651108,0.73
0.006331955623354597,0.002214076603517999,0.76
0.0012964037359827815,0.00458658189255474,0.39
0.009790163685519378,0.004539090284548869,0.4
0.004929686752005133,-0.004959808248524024,0.32
0.008150261653862505,0.00272193707559006,0.6900000000000001
